Gene Name	Accession-1	Left-End-Position	Right-End-Position	Accession-2	Product	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
emrY	b2367	2480638	2482176	ECK2363	tripartite efflux pump membrane subunit EmrY	emrY // b2367 // ECK2363	EG13283					xenobiotic detoxification by transmembrane export across the cell outer membrane // transmembrane transport // bile acid and bile salt transport // xenobiotic detoxification by transmembrane export across the plasma membrane // response to antibiotic // DNA damage response	periplasmic side of plasma membrane // efflux pump complex // membrane // plasma membrane	transmembrane transporter activity	emrKY
yfeN	b2408	2525127	2525891	ECK2402	putative outer membrane porin YfeN	yfeN // b2408 // ECK2402	G7256						cell outer membrane		yfeN
rutE	b1008	1070365	1070955	ECK0999	probable malonic semialdehyde reductase	rutE // ycdI // b1008 // ECK0999	G6519					DNA damage response // uracil catabolic process // pyrimidine nucleobase catabolic process // nitrogen utilization		oxidoreductase activity // FMN binding // 3-hydroxypropionate dehydrogenase (NADP+) activity	rutABCDEFG
fdhE	b3891	4080299	4081228	ECK3884	formate dehydrogenase formation protein	fdhE // b3891 // ECK3884	EG10284					protein maturation	cytosol // cytoplasm	ferric iron binding // protein homodimerization activity // protein binding	fdoGHI-fdhE
aspU	b0206	228928	229004	ECK0206	tRNA-Asp(GUC)	aspU // b0206 // ECK0206	EG30024						cytosol // cytoplasm	triplet codon-amino acid adaptor activity	aspU
sraB	b4418	1146589	1146757	ECK1073	small RNA SraB	sraB // psrA4 // pke20 // psrD // b4418 // ECK1073	G0-8862							protein binding	sraB
yegU	b2099	2180095	2181099	ECK2092	putative ADP-ribosylglycohydrolase YegU	yegU // b2099 // ECK2092	G7131						cytosol	hydrolase activity	yegTUV
torS	b0993	1053434	1056178	ECK0984	sensor histidine kinase TorS	torS // yccI // b0993 // ECK0984	G6514					peptidyl-histidine phosphorylation // phosphorylation // protein dephosphorylation // protein autophosphorylation // anaerobic respiration // phosphorelay signal transduction system	membrane // outer membrane-bounded periplasmic space // plasma membrane	identical protein binding // kinase activity // protein histidine kinase activity // protein binding // ATP binding // protein homodimerization activity // phosphoprotein phosphatase activity // phosphorelay sensor kinase activity	torS
ygjI	b3078	3226234	3227667	ECK3068	putative transporter YgjI	ygjI // b3078 // ECK3068	EG12720					transmembrane transport	membrane // plasma membrane	transmembrane transporter activity	ygjI
ydjJ	b1774	1857790	1858833	ECK1772	putative zinc-binding dehydrogenase YdjJ	ydjJ // b1774 // ECK1772	G6961						cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // zinc ion binding // metal ion binding // oxidoreductase activity	ydjLKJIHG
rpoN	b3202	3344717	3346150	ECK3191	RNA polymerase sigma factor RpoN	rpoN // glnF // ntrA // b3202 // ECK3191	EG10898	gnsA // zraR // zraS // potF // potG // potH // potI // nac // yeaH // yeaG // rpoH // rtcR // actP // glmY // norW // norV // xdhC // xdhB // xdhA // glnQ // glnP // glnH // pspH // pspG // atoB // atoD // atoA // atoE // fdhF // prpE // prpD // prpC // prpB // acrD // hypF // hydN // rhaD // rutA // rutB // rutC // rutD // rutE // rutF // rutG // yaaU // nikE // nikR // nikD // nikC // nikB // nikA // astE // astB // astD // astA // astC // dcuD // pspA // pspB // pspC // pspD // pspE // rtcA // rtcB // emrD // radD // amtB // glnK // htpG // patA // ibpB // focB // hyfR // hyfJ // hyfI // hyfH // hyfG // hyfF // hyfE // hyfD // hyfC // hyfB // hyfA // rseD // rseC // rseB // rseA // rpoE // ymjE // puuP // ddpF // ddpD // ddpC // ddpB // ddpA // ddpX // chaC // gltL // gltK // gltJ // sroC // gltI // hycI // hycH // hycG // hycF // hycE // hycD // hycC // hycB // hycA // glpQ // yhdZ // yhdY // yhdX // yhdW // yahE // zraP // fhlA // hypA // hypB // hypC // hypD // hypE // glnZ // glnG // glnL // glnA // relA // flhC // flhD // hisP // hisM // hisQ // hisJ // argT // aslB // rcdB // ssnA // ygfK // xapB	b4517 // b4004 // b4003 // b0854 // b0855 // b0856 // b0857 // b1988 // b1784 // b1783 // b3461 // b3422 // b4067 // b4441 // b2711 // b2710 // b2868 // b2867 // b2866 // b0809 // b0810 // b0811 // b4758 // b4050 // b2224 // b2221 // b2222 // b2223 // b4079 // b0335 // b0334 // b0333 // b0331 // b2470 // b2712 // b2713 // b3902 // b1012 // b1011 // b1010 // b1009 // b1008 // b1007 // b1006 // b0045 // b3480 // b3481 // b3479 // b3478 // b3477 // b3476 // b1744 // b1745 // b1746 // b1747 // b1748 // b3227 // b1304 // b1305 // b1306 // b1307 // b1308 // b4475 // b3421 // b3673 // b2184 // b0451 // b0450 // b0473 // b3073 // b3686 // b2492 // b2491 // b2490 // b2489 // b2488 // b2487 // b2486 // b2485 // b2484 // b2483 // b2482 // b2481 // b4725 // b2570 // b2571 // b2572 // b2573 // b4742 // b1296 // b1483 // b1484 // b1485 // b1486 // b1487 // b1488 // b1218 // b0652 // b0653 // b0654 // b4763 // b0655 // b2717 // b2718 // b2719 // b2720 // b2721 // b2722 // b2723 // b2724 // b2725 // b2239 // b3271 // b3270 // b3269 // b3268 // b0319 // b4002 // b2731 // b2726 // b2727 // b2728 // b2729 // b2730 // b4836 // b3868 // b3869 // b3870 // b2784 // b1891 // b1892 // b2306 // b2307 // b2308 // b2309 // b2310 // b3800 // b3521 // b2879 // b2878 // b2406	fadL // yfcZ // cspC // yobF // nth // mutM	b2344 // b2343 // b1823 // b1824 // b1633 // b3635	cell motility // nitrate assimilation // submerged biofilm formation // regulation of DNA-templated transcription initiation // DNA-templated transcription initiation // positive regulation of DNA-templated transcription // arginine metabolic process // regulation of DNA-templated transcription	cytosolic DNA-directed RNA polymerase complex // DNA-directed RNA polymerase complex // protein-DNA complex // cytosol	protein binding // transcription cis-regulatory region binding // DNA-binding transcription activator activity // nucleotidyltransferase activity // DNA binding // sigma factor activity	lptAB-rpoN-hpf-ptsN-rapZ-npr // lptB-rpoN-hpf-ptsN-yhbJ // rpoN-hpf-ptsN-yhbJ-npr
pflC	b3952	4146258	4147136	ECK3943	putative pyruvate formate-lyase 2 activating enzyme PflC	pflC // yijM // b3952 // ECK3943	EG11911					glucose metabolic process	cytoplasm // cytosol	4 iron, 4 sulfur cluster binding // metal ion binding // [formate-C-acetyltransferase]-activating enzyme activity // oxidoreductase activity	pflDC
valY	b2403	2521173	2521248	ECK2397	tRNA-Val(UAC)	valY // valUgamma // b2403 // ECK2397	EG30114						cytosol // cytoplasm	triplet codon-amino acid adaptor activity	valUXY-lysV
chiX	b4585	507204	507287	ECK4396	small regulatory RNA ChiX	chiX // sroB // rybC // micM // b4585 // ECK4396	G0-9382					negative regulation of single-species biofilm formation // regulatory ncRNA-mediated post-transcriptional gene silencing		mRNA binding // mRNA 5'-UTR binding // protein binding	chiX
ydgD	b1598	1671960	1672781	ECK1593	putative serine protease YdgD	ydgD // b1598 // ECK1593	G6856					proteolysis		serine-type endopeptidase activity // serine-type peptidase activity	ydgD
narX	b1222	1275822	1277618	ECK1216	sensor histidine kinase NarX	narX // frdR // narR // frd1 // b1222 // ECK1216	EG10646					peptidyl-histidine phosphorylation // phosphorylation // DNA damage response // phosphorelay signal transduction system // signal transduction // nitrate assimilation // protein dephosphorylation // protein autophosphorylation // cellular response to nitrate // cellular response to nitrite	membrane // outer membrane-bounded periplasmic space // plasma membrane	protein kinase activity // protein binding // kinase activity // protein histidine kinase activity // protein dimerization activity // ATP binding // protein homodimerization activity // phosphoprotein phosphatase activity // phosphorelay sensor kinase activity	narXL
cadB	b4132	4358697	4360031	ECK4126	lysine:cadaverine antiporter	cadB // b4132 // ECK4126	EG10132					transmembrane transport // amino acid transport // cellular stress response to acidic pH // L-lysine transmembrane transport // cadaverine transport	plasma membrane // membrane	symporter activity // transmembrane transporter activity // antiporter activity // lysine:cadaverine antiporter activity	cadBA
ynbE	b1382	1445687	1445872	ECK1379	putative intermembrane phospholipid transport lipoprotein YnbE	ynbE // b1382 // ECK1379	G6704						cytosol	protein binding	ydbH-ynbE-ydbL
nirD	b3366	3496551	3496877	ECK3354	nitrite reductase (NADH) small subunit	nirD // b3366 // ECK3354	EG10655					negative regulation of transferase activity // nitrate assimilation	cytoplasm // cytosol // nitrite reductase complex [NAD(P)H]	protein binding // nitrite reductase NADH activity // oxidoreductase activity // 2 iron, 2 sulfur cluster binding	nirBDC-cysG
dmsA	b0894	940959	943403	ECK0885	dimethyl sulfoxide reductase subunit A	dmsA // b0894 // ECK0885	EG10232					anaerobic electron transport chain // dimethyl sulfoxide metabolic process // anaerobic respiration	outer membrane-bounded periplasmic space // plasma membrane // dimethyl sulfoxide reductase complex // membrane	molybdopterin cofactor binding // metal ion binding // protein binding // oxidoreductase activity // molybdenum ion binding // dimethyl sulfoxide reductase activity // 4 iron, 4 sulfur cluster binding // electron transfer activity	dmsABC // dmsABC // dmsABC
serV	b2695	2818553	2818645	ECK2690	tRNA-Ser(GCU)	serV // supD // b2695 // ECK2690	EG30095						cytosol // cytoplasm	triplet codon-amino acid adaptor activity	serV-argVYZQ
sokX	b4701	2887353	2887411	ECK4514	small RNA SokX	sokX // b4701 // ECK4514	G0-10695								sokX
ycgX	b1161	1212703	1213107	ECK1148	DUF1398 domain-containing protein YcgX	ycgX // b1161 // ECK1148	G6601								ycgX
hybO	b2997	3145143	3146261	ECK2991	hydrogenase 2 small subunit	hybO // yghV // b2997 // ECK2991	G7554					anaerobic respiration	ferredoxin hydrogenase complex // periplasmic space // membrane // [Ni-Fe] hydrogenase complex // plasma membrane	4 iron, 4 sulfur cluster binding // 3 iron, 4 sulfur cluster binding // metal ion binding // hydrogenase (acceptor) activity // ferredoxin hydrogenase activity // oxidoreductase activity // protein binding // iron-sulfur cluster binding // electron transfer activity	hybOABCDEFG
mgtA	b4242	4467625	4470321	ECK4237	Mg<sup>2+</sup> importing P-type ATPase	mgtA // atmA // corB // mgt // mtg // b4242 // ECK4237	EG12525					magnesium ion transport // cellular response to magnesium ion // magnesium ion transmembrane transport	intracellular membrane-bounded organelle // membrane // plasma membrane	ATP hydrolysis activity // ATPase-coupled monoatomic cation transmembrane transporter activity // metal ion binding // P-type ion transporter activity // protein binding // ATP binding // P-type magnesium transporter activity	mgtA // mgtA
ybhQ	b0791	824630	825040	ECK0780	inner membrane protein YbhQ	ybhQ // b0791 // ECK0780	G6408						plasma membrane		ybhQ
mdtP	b4080	4299564	4301030	ECK4073	putative multidrug efflux pump outer membrane channel	mdtP // yjcP // sdsP // b4080 // ECK4073	EG11952					transmembrane transport // sulfathiazole transmembrane transport // response to antibiotic	transporter complex // membrane // cell outer membrane	transmembrane transporter activity // efflux transmembrane transporter activity // sulfathiazole transmembrane transporter activity	mdtNOP
glaR	b2664	2795674	2796336	ECK2658	DNA-binding transcriptional repressor GlaR	glaR // ygaE // gabC // csiR // b2664 // ECK2658	EG12386	ypdC // yjjP // yihD // yigG // ygiW // yfdV // yfcV // yfbU // yfbO // yfbN // yehS // yehD // ydfK // ydeO // ychQ // ycgY // safA // rpsF // rpiB // rfbB // priC // ppiB // pliG // pdhR // murD // lsrG // kdsA // idnD // htrE // hinT // gltF // gadX // dctR // cysN // cadC // bssS // bdcA // alaE // yodB // ygjI // orn // yadN // smg // yidB	b2382 // b4364 // b3858 // b3818 // b3024 // b2372 // b2339 // b2294 // b2274 // b2273 // b2124 // b2111 // b1544 // b1499 // b1213 // b1196 // b1500 // b4200 // b4090 // b2041 // b0467 // b0525 // b1178 // b0113 // b0088 // b1518 // b1215 // b4267 // b0139 // b1103 // b3214 // b3516 // b3507 // b2751 // b4133 // b1060 // b4249 // b2670 // b1974 // b3078 // b4162 // b0141 // b3284 // b3698	zraR // yobD // ynjH // yjjQ // yjdP // yihM // yhcD // yfiR // dgcN // yfiL // yfcO // hxpA // yeaE // ycjP // yciU // ycgJ // csgI // ycbV // ycbU // ttdR // ttdA // tehA // tar // tam // sgcC // rssB // rhsD // prmC // ppx // phoH // pdxA // oxc // nlpA // mrdA // mglA // ldcC // inaA // idnK // gdhA // gcvA // gadW // fhuE // elfC // dinQ // cysS // casA // baeS // aroP // aroB // apt // chaB // chaC // ydhS // ycgV // pdeG // ydfI // ydcK // yccU // ynaE // ypjA // ygiV // yqhC // ybaN // bdcR // yjfY // rsgA // yfjD // yfdC // yehE // kdgT // chaA // gabP // gabT // gabD // lhgD // glaH	b4004 // b1820 // b1760 // b4365 // b4487 // b3873 // b3216 // b2603 // b2604 // b2602 // b2332 // b2293 // b1781 // b1312 // b1248 // b1177 // b0964 // b0943 // b0942 // b3060 // b3061 // b1429 // b1886 // b1519 // b4304 // b1235 // b0497 // b1212 // b2502 // b1020 // b0052 // b2373 // b3661 // b0635 // b2149 // b0186 // b2237 // b4268 // b1761 // b2808 // b3515 // b1102 // b0940 // b4613 // b0526 // b2760 // b2078 // b0112 // b3389 // b0469 // b1217 // b1218 // b1668 // b1202 // b1168 // b1542 // b1428 // b0965 // b1375 // b2647 // b3023 // b3010 // b0468 // b4251 // b4199 // b4161 // b4461 // b2347 // b2112 // b3909 // b1216 // b2663 // b2662 // b2661 // b2660 // b2659	negative regulation of DNA-templated transcription initiation // regulation of DNA-templated transcription	cytoplasm // cytosol	DNA-binding transcription factor activity // DNA binding	CsiR
menE	b2260	2373648	2375003	ECK2254	<i>o</i>-succinylbenzoate&mdash;CoA ligase	menE // b2260 // ECK2254	EG12437					menaquinone biosynthetic process	protein-containing complex // cytosol	ligase activity, forming carbon-sulfur bonds // ligase activity // ATP binding // identical protein binding // o-succinylbenzoate-CoA ligase activity	menD-yfbB-menBCE // menBCE // menFD-yfbB-menBCE
lysT	b0743	780554	780629	ECK0732	tRNA-Lys(UUU)	lysT // supL // supG // sua // lysTalpha // Su[beta] // b0743 // ECK0732	EG30055						cytosol // cytoplasm	triplet codon-amino acid adaptor activity	lysT-valT-lysW
sdsR	b4433	1923104	1923207	ECK1839	small regulatory RNA SdsR	sdsR // tkpe79 // ryeB // b4433 // ECK1839	G0-8883					sRNA-mediated post-transcriptional gene silencing // mRNA destabilization // negative regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility		mRNA 5'-UTR binding // protein binding	sdsR-pphA // sdsR-pphA // sdsR
yafL	b0227	246712	247461	ECK0228	NlpC/P60 family protein YafL	yafL // b0227 // ECK0228	G6111					proteolysis	plasma membrane	cysteine-type peptidase activity	yafL
